"crn"	"subject"	"num"	"description"	"section"	"type"	"credits"	"start"	"end"	"days"	"where"	"schedule"	"instructor"
"20594"	"Accounting"	"ACC 200"	"Principles of Accounting I"	"001"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"Merrill Building 110"	"In-Person Instruction"	"Taleah Hunt Collum"
"20596"	"Accounting"	"ACC 200"	"Principles of Accounting I"	"002"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"Merrill Building 118"	"In-Person Instruction"	"John Robert Sudduth"
"20605"	"Accounting"	"ACC 200"	"Principles of Accounting I"	"003"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Taleah Hunt Collum"
"20606"	"Accounting"	"ACC 210"	"Principles of Accounting II"	"001"	"LEC"	"3"	"18:15:00"	"19:45:00"	"TR"	"Merrill Building 200"	"In-Person Instruction"	"John Robert Sudduth"
"20607"	"Accounting"	"ACC 210"	"Principles of Accounting II"	"002"	"LEC"	"3"	"08:45:00"	"09:45:00"	"MWF"	"Merrill Building 110"	"In-Person Instruction"	"Julie Ann Staples"
"20608"	"Accounting"	"ACC 210"	"Principles of Accounting II"	"003"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"John Robert Sudduth"
"22650"	"Accounting"	"ACC 300"	"Business Law"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Robert J Landry"
"20609"	"Accounting"	"ACC 301"	"Accounting Information Systems"	"001"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"Merrill Building 109"	"In-Person Instruction"	"Jeffrey Scott Zanzig"
"20610"	"Accounting"	"ACC 305"	"Data Analytics for Accounting"	"001"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"Merrill Building 100"	"In-Person Instruction"	"Jeffrey Scott Zanzig"
"20611"	"Accounting"	"ACC 310"	"Financial Accounting I"	"001"	"LEC"	"3"	"07:30:00"	"09:00:00"	"TR"	"Merrill Building 110"	"In-Person Instruction"	"Taleah Hunt Collum"
